,Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename,Latitude,Longtitude,Typenum,Dong,Challenge,Totalscore
371,이상봉 이참치,3.1,10,14,https://place.map.kakao.com/22320179,서울 노원구 석계로 21 2층,월계동 68-20,일식,37.6166236,127.0641121,2,B,0,23.25
307,1일1잔,5.0,3,9,https://place.map.kakao.com/485967615,서울 노원구 광운로2길 6 1층,월계동 472-45,디저트카페,37.6180605,127.0574109,4,B,0,22.5
334,초안산갈비,5.0,3,6,https://place.map.kakao.com/1635721809,서울 노원구 덕릉로60길 263,월계동 799,갈비,37.6297452,127.0465414,0,B,0,22.5
349,와플팝,5.0,3,1,https://place.map.kakao.com/574585945,서울 노원구 초안산로2라길 17 1층,월계동 272-31,간식,37.6315623,127.0575021,0,B,0,22.5
402,햇살머믄꼬마김밥 석계역점,5.0,3,2,https://place.map.kakao.com/333894026,서울 노원구 화랑로45길 42,월계동 21-23,분식,37.6169293,127.0652806,0,B,0,22.5
436,양드림,5.0,3,7,https://place.map.kakao.com/2115946682,서울 노원구 광운로2가길 1,월계동 476-24,"육류,고기",37.6174253,127.0586513,0,B,0,22.5
362,도미노피자 월계점,4.3,4,1,https://place.map.kakao.com/26815517,서울 노원구 광운로 52,월계동 409-16,피자,37.6218638,127.0596658,3,B,0,22.36
421,e푸른선참치 석계본점,4.3,4,1,https://place.map.kakao.com/9167092,서울 노원구 석계로1길 14,월계동 56-7,참치회,37.6155022,127.0638294,0,B,0,22.36
365,소문난곱창,4.7,3,4,https://place.map.kakao.com/13287923,서울 노원구 석계로7길 12-8 1층,월계동 68-25,"곱창,막창",37.6163437,127.0632513,0,B,0,21.15
344,우리집,4.0,4,3,https://place.map.kakao.com/16851034,서울 노원구 광운로22길 9,월계동 298-6,한식,37.6284436,127.0592714,0,B,0,20.8
358,클라우드9,4.0,4,8,https://place.map.kakao.com/20744235,서울 노원구 화랑로 337-23,월계동 62-6,이탈리안,37.6159207,127.0649047,3,B,0,20.8
374,BHC치킨 월계스타점,4.0,4,1,https://place.map.kakao.com/1219738630,서울 노원구 초안산로2라길 19 201호,월계동 274-46,치킨,37.63143460000001,127.0576408,0,B,0,20.8
388,미식성,4.0,4,1,https://place.map.kakao.com/9443559,서울 노원구 광운로 9,월계동 469-16,중화요리,37.6186541,127.0572675,1,B,0,20.8
