,Name,Score,Numberofscore,Review,Link,Addr,lat,lng
88,마뇨떡볶이 노원역점,4.3,9,24,https://place.map.kakao.com/1698656854,"
서울 노원구 상계로 55 위성프라자 2층 201호
(지번) 상계동 693-3
",37.6560102,127.0611427
89,써브웨이 노원점,1.9,33,30,https://place.map.kakao.com/26321870,"
서울 노원구 노해로 502
(지번) 상계동 723
",37.6543814,127.0636656
90,영스넥,3.6,11,27,https://place.map.kakao.com/17079123,"
서울 노원구 상계로 51 노원프라자빌딩 지하1층
(지번) 상계동 693-1
",37.6559143,127.0608756
91,신미방,3.9,16,12,https://place.map.kakao.com/628049731,"
서울 노원구 상계로 64
(지번) 상계동 617
",37.6555926,127.0623312
92,맥도날드 중계역점,2.4,15,14,https://place.map.kakao.com/8331701,"
서울 노원구 동일로 1341 장우빌딩 1층
(지번) 상계동 763-2
",37.6548036,127.0570076
93,라화쿵부 상계점,2.3,14,46,https://place.map.kakao.com/1944117785,"
서울 노원구 노해로 492 프린스빌딩 2층 203호
(지번) 상계동 724-2
",37.6543867,127.062681
94,전주콩나물국밥,4.1,9,9,https://place.map.kakao.com/9386063,"
서울 노원구 노해로75길 14-26
(지번) 상계동 708-3
",37.6545423,127.058872
95,송재만참치 수락산역점,4.7,7,34,https://place.map.kakao.com/16061317,"
서울 노원구 동일로242길 25 2층
(지번) 상계동 1120-31
",37.6754892,127.0569263
96,쭈꾸미달인 직영2호점,4.5,33,58,https://place.map.kakao.com/18657479,"
서울 노원구 상계로5길 3
(지번) 상계동 353-1
",37.6567642,127.0638464
97,봉평메밀막국수 직영점,3.3,9,11,https://place.map.kakao.com/21296190,"
서울 노원구 동일로242가길 14-8
(지번) 상계동 1119-16
",37.6763235,127.0560157
98,데일리식탁,3.8,14,55,https://place.map.kakao.com/1213793385,"
서울 노원구 상계로 97-5
(지번) 상계동 366-15
",37.657186,127.0657859
99,플로레스테이블,4.2,9,98,https://place.map.kakao.com/101891212,"
서울 노원구 상계로5길 12 3층
(지번) 상계동 1305
",37.6575352,127.0639274
100,다미참치,5.0,2,29,https://place.map.kakao.com/1871306854,"
서울 노원구 동일로218길 17 2층
(지번) 상계동 726
",37.6538373,127.0617571
101,비엔나커피하우스 노원역점,4.1,10,34,https://place.map.kakao.com/1366601562,"
서울 노원구 동일로 1417 1층
(지번) 상계동 711-13
",37.6549923,127.0599384
102,카페멍스 노원점,4.3,16,6,https://place.map.kakao.com/552228863,"
서울 노원구 상계로5길 19 2층 201호
(지번) 상계동 354-11
",37.6569224,127.0635645
103,고전한방삼계탕 노원점,1.0,6,12,https://place.map.kakao.com/16328989,"
서울 노원구 노해로 517
(지번) 상계2동 323-16
",37.6556456,127.0653791
104,시골집,3.0,8,8,https://place.map.kakao.com/14526286,"
서울 노원구 동일로236길 11
(지번) 상계동 1025-34
",37.6736325,127.0561846
105,또와순두부수제비,3.0,6,33,https://place.map.kakao.com/16646116,"
서울 노원구 노해로85길 10-8
(지번) 상계동 323-32
",37.6558732,127.0655667
106,올드델리 노원점,3.7,10,32,https://place.map.kakao.com/11480937,"
서울 노원구 노해로85길 14 상계제일빌딩 2층
(지번) 상계동 324-4
",37.6560254,127.0652363
107,일차돌 노원점,3.0,8,57,https://place.map.kakao.com/1578507699,"
서울 노원구 노해로81길 12-21 1층
(지번) 상계동 332-8
",37.655781,127.0641648
108,태양부양꼬치 수락산점,3.9,7,83,https://place.map.kakao.com/54342051,"
서울 노원구 동일로239가길 22 2층
(지번) 상계동 1118-39
",37.6761185,127.0548336
109,이오냉면,2.1,7,42,https://place.map.kakao.com/12048553,"
서울 노원구 상계로1길 38-11
(지번) 상계동 591-3
",37.6579356,127.0620399
