,Name,Score,Numberofscore,Review,Link,Addr,Typename,lat,lng,Typenum
118,옛촌냉면,3.3,3,3,https://place.map.kakao.com/13293729,서울 노원구 동일로 1279,냉면,37.6420655,127.0640457,0
119,사카나,5.0,4,5,https://place.map.kakao.com/16082172,서울 노원구 한글비석로20길 33 1층,일본식주점,37.6606835,127.073983,2
120,빽다방 중계은행사거리점,3.3,3,0,https://place.map.kakao.com/27095996,서울 노원구 한글비석로 235 하나프라자빌딩 105호,커피전문점,37.650443,127.0764298,4
121,미스터짱닭치킨 상계역점,4.3,4,7,https://place.map.kakao.com/19661945,서울 노원구 한글비석로20길 17,치킨,37.6599809,127.0736687,0
122,복촌닭한마리,5.0,2,22,https://place.map.kakao.com/19531893,서울 노원구 한글비석로20길 19 2층,국수,37.6600371,127.0737122,0
123,배스킨라빈스 상계역점,2.1,7,3,https://place.map.kakao.com/10410434,서울 노원구 한글비석로 384 대호프라자상가,아이스크림,37.65974730000001,127.0731798,0
124,굽네치킨 중계1동점,5.0,1,0,https://place.map.kakao.com/1028864335,서울 노원구 덕릉로 591 1층 102호,치킨,37.6509816,127.071854,0
125,땅스부대찌개 중계점,5.0,1,3,https://place.map.kakao.com/1803019295,서울 노원구 중계로 198 상가 1층,"찌개,전골",37.6519337,127.0795233,0
126,도리연닭도리탕,5.0,1,14,https://place.map.kakao.com/244846284,서울 노원구 덕릉로83길 20-5,닭요리,37.6603144,127.0742573,0
127,미래수산,3.7,3,3,https://place.map.kakao.com/15319187,서울 노원구 동일로 1280,회,37.6428027,127.0664601,0
128,가츠몽 중계은행사거리점,0.0,0,2,https://place.map.kakao.com/1666035904,서울 노원구 한글비석로 231 위성프라자 104호,"돈까스,우동",37.6560102,127.0611427,0
129,곤조참치,4.3,6,4,https://place.map.kakao.com/620791338,서울 노원구 덕릉로 721,"해물,생선",37.6620064,127.0755034,0
130,파파존스 중계점,5.0,3,14,https://place.map.kakao.com/21413910,서울 노원구 한글비석로 264 그랜드프라자 2층,피자,37.6508596,127.0770963,3
131,수유리우동집 상계직영점,2.7,9,0,https://place.map.kakao.com/20636837,서울 노원구 덕릉로83길 18,"돈까스,우동",37.6600958,127.0744074,0
132,장수한우곱창 상계점,4.1,10,5,https://place.map.kakao.com/145407990,서울 노원구 덕릉로83길 5 한화꿈에그린 더퍼스트 상가 1층 105호,"곱창,막창",37.6589569,127.0747524,0
133,후라이드참잘하는집 중계점,4.7,3,3,https://place.map.kakao.com/1515500122,서울 노원구 노원로 333,치킨,37.6464986,127.0688377,0
134,옛날통닭1번지 중계점,5.0,5,2,https://place.map.kakao.com/1298195237,서울 노원구 중계로12가길 2 1층 105호,치킨,37.6473276,127.0820619,0
135,남원골추어탕,5.0,2,0,https://place.map.kakao.com/8881535,서울 노원구 덕릉로83길 9-16,추어,37.6597665,127.0748172,0
136,메가커피 중계브라운스톤점,2.7,3,2,https://place.map.kakao.com/1443789514,"서울 노원구 동일로203가길 29 1층 173,174호",커피전문점,37.6393728,127.0642922,4
137,왕골감자탕 중계점,1.0,2,5,https://place.map.kakao.com/1563223249,서울 노원구 한글비석로 273 1층,감자탕,37.6521219,127.0772046,0
138,피자헛 중계본점,4.5,2,1,https://place.map.kakao.com/1096945990,서울 노원구 한글비석로15길 27,피자,37.6569895,127.0741309,3
139,메가커피 상계역점,5.0,3,2,https://place.map.kakao.com/757831707,서울 노원구 덕릉로83길 18,커피전문점,37.6600958,127.0744074,4
140,맘스터치 노원중계점,1.0,4,2,https://place.map.kakao.com/652160053,서울 노원구 한글비석로 233 1층,패스트푸드,37.6484656,127.0762821,3
141,등촌샤브칼국수 중계점,5.0,1,7,https://place.map.kakao.com/1256863259,서울 노원구 한글비석로 270 스카이타워 104호,샤브샤브,37.6515448,127.0773761,0
142,투썸커피 하계CGV스윗바점,0.0,0,0,https://place.map.kakao.com/23078460,서울 노원구 섬밭로 258,커피전문점,37.6389443,127.0647295,4
143,파리바게뜨 중계두타빌점,0.0,0,2,https://place.map.kakao.com/8567480,서울 노원구 한글비석로 245,"제과,베이커리",37.649542,127.0763583,4
144,BBQ 중계은행점,1.2,14,4,https://place.map.kakao.com/18902985,서울 노원구 한글비석로 272 중원코아빌딩 1층 105호,치킨,37.6517762,127.077513,0
145,미스사이공 중계점,2.5,4,5,https://place.map.kakao.com/174477705,"서울 노원구 한글비석로 264 중계그랜드프라자 2층 210,211호",베트남음식,37.6508596,127.0770963,5
146,수유다래함박스텍 중계점,3.3,6,10,https://place.map.kakao.com/1935352310,서울 노원구 덕릉로 699 1층,"스테이크,립",37.660074,127.0751965,3
147,이코이바,4.5,2,6,https://place.map.kakao.com/16905243,서울 노원구 한글비석로20길 54,일본식주점,37.6613257,127.0747559,2
148,카페109,0.0,0,1,https://place.map.kakao.com/1229879684,서울 노원구 덕릉로83길 6 1층,커피전문점,37.659988,127.0750253,4
149,60계 서울중계점,5.0,2,3,https://place.map.kakao.com/1963902119,서울 노원구 중계로 164,치킨,37.6497082,127.0811464,0
150,감동식당,4.6,61,180,https://place.map.kakao.com/1317959049,서울 노원구 한글비석로47길 58 1층,갈비,37.6615836,127.0665469,0
151,강강술래 상계점,3.3,37,120,https://place.map.kakao.com/18536783,서울 노원구 동일로 1628 2층,"육류,고기",37.6738242,127.0560348,0
152,로니로티 노원점,4.0,30,209,https://place.map.kakao.com/1010045527,서울 노원구 상계로 63-7 청우빌딩 2층 201호,양식,37.6645066,127.0737934,3
153,감각,3.1,20,195,https://place.map.kakao.com/586007148,서울 노원구 상계로 77 1층,카페,37.6567015,127.0634404,4
154,어글리스토브 노원역점,3.8,32,143,https://place.map.kakao.com/24658744,서울 노원구 노해로81길 12-21 3층,양식,37.655781,127.0641648,3
155,시드누아 노원본점,2.6,52,168,https://place.map.kakao.com/19696160,서울 노원구 상계로 84,커피전문점,37.6562709,127.0642402,4
156,왕십리조개창고 노원점,2.9,25,134,https://place.map.kakao.com/25450376,서울 노원구 상계로1길 38-11 우창프라자 2층 201호,조개,37.6579356,127.0620399,0
157,용순가재골수제비,2.6,44,159,https://place.map.kakao.com/20747637,서울 노원구 동일로242길 100 1층,수제비,37.6743943,127.0606312,0
158,숟가락반상 마실 노원점,4.2,65,42,https://place.map.kakao.com/1601456521,서울 노원구 노원로 412,한식,37.653374,127.0680991,0
159,삼덕식당,3.8,14,100,https://place.map.kakao.com/298434750,서울 노원구 상계로5길 9 1층,"육류,고기",37.6569542,127.0638327,0
160,땅코참숯구이 노원점,4.5,19,100,https://place.map.kakao.com/1572967845,서울 노원구 노해로85길 15-5,"육류,고기",37.6563426,127.0653296,0
161,소담촌 노원역점,3.1,14,50,https://place.map.kakao.com/2097885929,서울 노원구 상계로 90 마블러스1 2층,샤브샤브,37.6587754,127.0684857,0
162,털보고된이 본점,4.0,55,107,https://place.map.kakao.com/26086942,서울 노원구 노해로81길 22-22,"해물,생선",37.6558713,127.0637387,0
163,풍미연,2.7,17,51,https://place.map.kakao.com/16590379,서울 노원구 노해로85길 7,설렁탕,37.655641,127.0648035,0
164,수락이오냉면 본점,3.3,23,54,https://place.map.kakao.com/16526733,서울 노원구 동일로237다길 7 1층,냉면,37.6738747,127.0525666,0
165,스시웨이 노원점,3.0,18,60,https://place.map.kakao.com/17849636,서울 노원구 동일로 1374,"초밥,롤",37.6512657,127.0617521,2
166,72420 노원직영점,4.3,31,69,https://place.map.kakao.com/38006070,서울 노원구 동일로217가길 11 1층,베트남음식,37.6534006,127.0598701,5
167,스시노칸도 노원역점,2.8,26,188,https://place.map.kakao.com/1358381190,서울 노원구 상계로3길 28 영빈빌딩 4층,"초밥,롤",37.6573474,127.0626321,2
168,위안바오,3.8,36,111,https://place.map.kakao.com/416374182,서울 노원구 동일로 1426,중식,37.6559099,127.0605366,1
169,이춘복참치 노원직영점,2.4,18,35,https://place.map.kakao.com/13608491,서울 노원구 노해로85길 10-7,참치회,37.6561359,127.0655124,0
170,수시로스시,3.4,19,90,https://place.map.kakao.com/736602099,서울 노원구 노원로 479 대광빌딩 1층,"초밥,롤",37.658837,127.0645832,2
171,우리집곱창 본점,4.1,14,73,https://place.map.kakao.com/16327756,서울 노원구 덕릉로123길 11,"곱창,막창",37.6701683,127.0803943,0
172,풍성진감자탕,4.7,21,28,https://place.map.kakao.com/767594066,서울 노원구 노해로83길 10-11,감자탕,37.6559745,127.0649273,0
173,쭈꾸미킹 노원점,3.2,14,84,https://place.map.kakao.com/592034631,서울 노원구 상계로1길 34 뉴금오프라자 1층,"해물,생선",37.6575193,127.0618117,0
174,화포식당 노원점,4.0,9,80,https://place.map.kakao.com/331097438,서울 노원구 상계로 72,"육류,고기",37.6559951,127.062988,0
175,샛별제과,4.6,19,47,https://place.map.kakao.com/1488538685,서울 노원구 상계로9길 23 101호,디저트카페,37.6582057,127.0660962,4
176,노원돈부리,4.3,41,59,https://place.map.kakao.com/709257368,서울 노원구 동일로 1343 동일프라자 101~103호,일식,37.6484591,127.0619869,2
177,아웃백스테이크하우스 노원점,3.7,22,155,https://place.map.kakao.com/16997192,서울 노원구 동일로 1419,패밀리레스토랑,37.6552663,127.0598295,3
178,장천,3.5,18,128,https://place.map.kakao.com/229428334,서울 노원구 동일로217가길 11 2층 202호,중화요리,37.6534006,127.0598701,1
179,썸머타이,4.1,34,47,https://place.map.kakao.com/89011711,서울 노원구 노해로75길 14-25 동신빌딩 1층,태국음식,37.6547199,127.0587369,5
180,엄마손칼국수,4.0,25,51,https://place.map.kakao.com/16051532,서울 노원구 상계로39길 5,국수,37.6710563,127.0802156,0
181,노원한우,3.3,3,129,https://place.map.kakao.com/1171557896,서울 노원구 동일로218길 35,"육류,고기",37.6540491,127.0627858,0
