Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
그남자의돼지갈비 4호점,3.7,3,10,https://place.map.kakao.com/2031372265,서울 노원구 월계로 336 2층,월계동 292-59,갈비
화돌농장,4.3,7,0,https://place.map.kakao.com/26849111,서울 노원구 광운로 133,월계동 297,"육류,고기"
노란오빠생각,1.0,1,0,https://place.map.kakao.com/980550235,서울 노원구 화랑로 337,월계동 46-1,떡볶이
하다식당 월계직영점,4.3,9,12,https://place.map.kakao.com/727616311,서울 노원구 초안산로2길 122 1층,월계동 271-23,"돈까스,우동"
싱싱오징어바다 석계역점,2.0,3,14,https://place.map.kakao.com/19839143,서울 노원구 석계로 14,월계동 61-8,"해물,생선"
아빵,4.1,8,10,https://place.map.kakao.com/27550729,서울 노원구 초안산로2라길 13,월계동 655-14,"제과,베이커리"
빽다방 광운대점,4.3,3,4,https://place.map.kakao.com/27094505,서울 노원구 광운로 43 로얄포토빌딩 1층,월계동 393-14,커피전문점
클라우드9,4.0,4,8,https://place.map.kakao.com/20744235,서울 노원구 화랑로 337-23,월계동 62-6,이탈리안
신연마라탕,4.3,8,6,https://place.map.kakao.com/364066914,서울 노원구 광운로 35,월계동 402-18,중식
파리바게뜨 석계역점,4.5,6,77,https://place.map.kakao.com/21656626,"서울 노원구 마들로 31 상가동 107,108,148호",월계동 18,"제과,베이커리"
장어구이셀프타운,3.5,2,8,https://place.map.kakao.com/20740538,서울 노원구 화랑로45길 40,월계동 21-34,장어
도미노피자 월계점,4.3,4,1,https://place.map.kakao.com/26815517,서울 노원구 광운로 52,월계동 409-16,피자
롯데리아 석계점,1.8,9,0,https://place.map.kakao.com/7857648,서울 노원구 화랑로 325,월계동 50-29,패스트푸드
엘가커피 석계점,3.0,6,7,https://place.map.kakao.com/24693403,서울 노원구 석계로1길 22,월계동 54-1,카페
소문난곱창,4.7,3,4,https://place.map.kakao.com/13287923,서울 노원구 석계로7길 12-8 1층,월계동 68-25,"곱창,막창"
꿈의김밥,4.0,6,1,https://place.map.kakao.com/866759727,서울 노원구 석계로3길 41 1층,월계동 485-5,분식
카페베르데 광운대본점,4.0,1,1,https://place.map.kakao.com/16298833,서울 노원구 광운로 17-3 1층,월계동 496-4,카페
용궁중화요리,2.0,7,9,https://place.map.kakao.com/8458383,서울 노원구 월계로 325,월계2동 600,중화요리
스타벅스 월계트레이더스점,5.0,2,7,https://place.map.kakao.com/780657144,서울 노원구 마들로3길 17,월계동 333-1,커피전문점
마포연탄불고기,4.4,9,5,https://place.map.kakao.com/21353407,서울 노원구 석계로18길 4,월계동 379-25,"불고기,두루치기"
이상봉 이참치,3.1,10,14,https://place.map.kakao.com/22320179,서울 노원구 석계로 21 2층,월계동 68-20,일식
피자굽는오빠 2호점,5.0,1,26,https://place.map.kakao.com/140659618,서울 노원구 초안산로5길 12,월계동 776,이탈리안
