Name,Score,Numberofscore,Review,Link,Addr1,Addr2,Typename
또와순두부수제비,3.0,6,34,https://place.map.kakao.com/16646116,서울 노원구 노해로85길 10-8,상계동 323-32,실내포장마차
비엔나커피하우스 노원역점,4.2,11,34,https://place.map.kakao.com/1366601562,서울 노원구 동일로 1417 1층,상계동 711-13,커피전문점
주가네서서갈비 본점,5.0,2,18,https://place.map.kakao.com/16051406,서울 노원구 노해로85길 22,상계동 348-2,갈비
데일리식탁,3.8,14,57,https://place.map.kakao.com/1213793385,서울 노원구 상계로 97-5,상계동 366-15,일식
고전한방삼계탕 노원점,1.0,6,12,https://place.map.kakao.com/16328989,서울 노원구 노해로 517,상계2동 323-16,삼계탕
봉평메밀막국수 직영점,3.3,9,11,https://place.map.kakao.com/21296190,서울 노원구 동일로242가길 14-8,상계동 1119-16,국수
올드델리 노원점,3.7,10,32,https://place.map.kakao.com/11480937,서울 노원구 노해로85길 14 상계제일빌딩 2층,상계동 324-4,인도음식
시골집,3.0,8,8,https://place.map.kakao.com/14526286,서울 노원구 동일로236길 11,상계동 1025-34,"해물,생선"
태양부양꼬치 수락산점,3.9,7,85,https://place.map.kakao.com/54342051,서울 노원구 동일로239가길 22 2층,상계동 1118-39,양꼬치
대머리곱창 노원점,2.8,17,29,https://place.map.kakao.com/16057023,서울 노원구 상계로1길 62-4,상계동 581-55,"곱창,막창"
카페멍스 노원점,4.2,18,6,https://place.map.kakao.com/552228863,서울 노원구 상계로5길 19 2층 201호,상계동 354-11,카페
일차돌 노원점,3.0,8,54,https://place.map.kakao.com/1578507699,서울 노원구 노해로81길 12-21 1층,상계동 332-8,"육류,고기"
어장촌생선구이,4.0,8,7,https://place.map.kakao.com/20028584,서울 노원구 노해로75길 14-17,상계동 707,"해물,생선"
이오냉면,2.5,8,41,https://place.map.kakao.com/12048553,서울 노원구 상계로1길 38-11,상계동 591-3,냉면
신화주꾸미,4.0,4,23,https://place.map.kakao.com/14527395,서울 노원구 동일로 1355 상계주공2단지 상가 1층,상계동 746-5,"해물,생선"
